id;"name";"short_name";"alias";"country";"picture";"thumbnail";"description";"checked_out";"checked_out_time";"published";"params";"last_modified_by";"mod_date";"drill_type";"year_name";"division_name";"full_results";"media";"date";"verified";"edit_link";"delete_drill";"add_edit_events";"abbrev"
81;"West Hempstead - Hempstead Charity Drill";"Weir St Charity Drill";;;;;;"0";"2017-03-29 14:58:41";"0";;;;;NULL;NULL;
82;"Selden Jr. Invitational Drill";"Selden Jr Invite";;;;;;"0";"2017-03-29 15:01:14";"0";;;;;NULL;NULL;
83;"Suffolk County OF Drill";"Suffolk County OF Drill";;;;;;"0";"2017-03-29 16:58:16";"0";;;;;NULL;NULL;
84;"Mike Esposito Memorial OF Drill";"Mike Esposito OF Drill";;;;;;"0";"2017-03-29 16:59:07";"0";;;;;NULL;NULL;
86;"Mastic Invitational OF Drill";"Mastic OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Mastic OF"
87;"Miller Place/Rocky Point OF Drill";"MP/RP OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Miller/Rocky OF"
88;"Lynbrook Invitational OF Drill";"Lynbrook OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Lynbrook OF"
89;"Fairben Memorial OF Drill";"Fairben OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Fairben OF"
90;"Town of Islip Jr. Drill";"Town of Islip Jr Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Islip Town Jrs"
91;"2nd Battalion OF Drill";"2nd Battalion OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"2nd Batt OF"
92;"3rd Battalion OF Drill";"3rd Battalion OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"3rd Batt OF"
93;"4th Battalion OF Drill";"4th Battalion OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"4th Batt OF"
94;"Islip Terrace Jr Invitational Drill";"Islip Terrace Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Terrace Jrs"
95;"Hicksville Jr Invitational Drill";"Hicksville Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hicksville Jrs"
96;"Farmingville Jr. Invitational Drill";"Farmingville Jr Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Farmingville Jr"
97;"Town of Brookhaven Jr Drill";"Town of Brookhaven Jrs";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Brookhaven Jrs"
98;"Muldowney Memorial OF Drill";"Muldowney OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Muldowney OF"
99;"Rockville Centre Invitational OF Drill";"Rockville Centre OF";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"RVC OF Invite"
100;"Alexandra Bay Invitational Drill";"Alexandra Bay Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Alexandra Bay"
101;"Center Moriches Jr Invitational Drill";"Center Moriches Jrs";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Center Moriches"
102;"Norwood Invitational Drill";"Norwood Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Norwood Drill"
103;"Northern NY Charity Drill";"Northern NY Charity";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"NNY Charity"
104;"Freeport Invitational OF Drill";"Freeport OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Freeport OF Inv"
105;"North Massapequa Invitational OF Drill";"N Massapequa OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"N Mass OF Drill"
106;"Antwerp Invitational Drill";"Antwerp Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Antwerp Invite"
107;"South Shore OF Drill";"South Shore OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"South Shore OF"
108;"Malverne Invitational OF Drill";"Malverne OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Malverne OF"
109;"Southern NY OF Drill";"Southern NY OF Drill";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"SNY OF"
110;"Island Park Invitational OF Drill";"Island Park OF Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Island Park OF"
111;"Philadelphia Invitational Drill";"Philadelphia Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Philadelphia"
112;"Dexter Invitational Drill";"Dexter Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Dexter"
113;"Mohawk Invitational Drill";"Mohawk Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Mohawk"
114;"Ogdensburg Invitational Drill";"Ogdensburg Invite";;NULL;NULL;NULL;NULL;"0";"0000-00-00 00:00:00";"0";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Ogdensburg"
